"1800EBH0092","",386066,398203,"Palmerston Street (to define route)","Gurney Street","N","PALMERSTON ST","GURNEY STREET","N0074882","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0101","",385715,401107,"Fernclough Rd(Sbd)opp.EB3369(to def.rte)","Granwood Cres","S","FERNCLOUGH ROAD","GRANWOOD CRES","E0028743","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0111","",386069,401011,"Carisbrooke Street/Monsall Road","Monsall Road","NW","CARISBROOKE ST","MONSALL ROAD","E0028743","","","BCT","HAR","OTH","DEL",1,"REMOVED","N","","","2010-04-22"
"1800EBH0112","",386069,401011,"Carisbrooke Street/Monsall Road","Monsall Road","SE","CARISBROOKE ST","MONSALL ROAD","E0028743","","","BCT","HAR","OTH","DEL",1,"REMOVED","N","","","2010-04-22"
"1800EBH0121","",385693,398422,"Carruthers St(Nbd)opp.EB3245(to def.rte)","Pollard Street","NW","CARRUTHERS ST","POLLARD STREET","N0080417","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0131","",387592,398923,"Tartan Street (eastbd) - opp EB3299","Bank Street","E","TARTAN STREET","BANK STREET","E0028720","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0141","",387713,398957,"Tartan Street (westbd) - opp EB3300","Pioneer Street","W","TARTAN STREET","PIONEER STREET","E0028720","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0151","",387873,398006,"Greenside St(Wbd)opp EB1463 (to def rte)","Clayton Lane","W","GREENSIDE ST","CLAYTON LANE","E0029173","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0161","",388295,395255,"Melland Rd (Ebd) opp EB0671 (to def rte)","None","E","MELLAND ROAD","Melland Rd (Ebd) opp EB0671 (to def rte)","E0029286","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0171","",388472,395263,"Wembley Road/Melland Road (to def route)","Melland Road","W","WEMBLEY ROAD","MELLAND ROAD","E0029286","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0181","",388007,394150,"Broom Lane - northbound","None","N","BROOM LANE","Broom Lane - northbound","E0028951","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0191","",388639,400282,"Averill Street","Droylsden Road","NE","AVERILL STREET","DROYLSDEN ROAD","E0029135","","","BCT","HAR","OTH","DEL",1,"removed","N","","","2010-04-22"
"1800EBH0192","",388639,400282,"Averill Street","Droylsden Road","SW","AVERILL STREET","DROYLSDEN ROAD","E0029135","","","BCT","HAR","OTH","DEL",1,"removed","N","","","2010-04-22"
"1800EBH0201","",387516,401051,"Hugo St (NW bound)","Nr Halliford Rd","W","HUGO ST","HALLIFORD RD","N0075088","","","BCT","HAR","OTH","ACT",2,"NAME AMENDED","N","","","2010-06-15"
"1800EBH0211","",387310,401147,"Hugo Street (SE bound)","Lightbowne Road","E","HUGO STREET","LIGHTBOWNE ROAD","N0075088","","","BCT","HAR","OTH","ACT",1,"DIRECTION AMENDED","N","","","2010-04-20"
"1800EBH0221","",384431,398170,"Portland St/Aytoun St (w/bnd)to def rte","Aytoun Street","SW","PORTLAND STREET","AYTOUN STREET","N0075071","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0231","",387145,401600,"Bluestone Road (to define route)","Kenyon Lane","E","BLUESTONE ROAD","KENYON LANE","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
